,Organization Name,Founders,Founding Date,Closing Date,Industry,Funding,HQ Location,Employees,About/Description,Slug,Crunchbase Img
132,Sorabel," Jeffrey Yuwono, Lingga Madu, Stanislaus Mahesworo Christandito Tandelilin",2014,," Classifieds, Fashion, Retail","$27,000,000"," Jakarta, Jakarta Raya, Indonesia",501-1000,"Here Soraya sells beautiful, mall-quality clothes with honest prices. Free postage unconditionally.",https://www.crunchbase.com/organization/sale-stock-indonesia,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/gsmamg4a9xrdgkfj5lxy"
133,Raena," Guo Xing Lim, Sreejita Deb",2018,," Consumer Goods, E-Commerce, Web Apps","$10,820,000"," Jakarta, Jakarta Raya, Indonesia",11-50,Raena is a web-based platform for Indonesian customers to purchase beauty products.,https://www.crunchbase.com/organization/raena,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/naps70ksygwx0vooaay7"
134,Altierre," Anurag Goel, Sunit Saxena",2003,," Hardware, Internet of Things, Software, Wireless","$111,581,000"," San Jose, California, United States",51-100,Altierre is a provider of wireless dynamic pricing solutions for retail chains.,https://www.crunchbase.com/organization/altierre,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/aen02fwxrwd7lmdrkslu"
135,Vidme," Alex Benzer, Warren Shaeffer",2014,04-Dec-17," Video, Video Advertising, Video Editing, Video on Demand, Video Streaming","$9,200,000"," Los Angeles, California, United States",11-50,Vidme is a startup video lab that makes videos for online viewing.,https://www.crunchbase.com/organization/bit-kitchen,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1481707829/nro5ii3lzv22e3phizl8.png"
136,SonicEnergy™,Meredith Perry,01-Jan-12,," Consumer Electronics, Energy, Hardware, Internet of Things, Wireless","$53,675,394"," Santa Monica, California, United States",11-50,SonicEnergy is a wireless power startup that transmits power to charge electronic devices over-the-air.,https://www.crunchbase.com/organization/ubeam,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/er491c94agezmwlqw9z3"
137,Turing Pharmaceuticals,Martin Shkreli,2014,," Biopharma, Biotechnology, Medical","$90,000,000"," New York, New York, United States",51-100,Turing Pharmaceuticals is a biopharmaceutical company focusing on patients with unmet medical needs.,https://www.crunchbase.com/organization/turing-pharmaceuticals,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1445636653/tjubkb7sjd2b7gklfu7s.jpg"
138,Justin.TV," Justin Kan, Kyle Vogt",01-Oct-06,05-Aug-13," Media and Entertainment, Messaging, Video","$16,387,887"," San Francisco, California, United States",5001-10000,"Justin.TV is an online community for users to freely create, share, and broadcast live videos.",https://www.crunchbase.com/organization/justintv,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/nuz2rioa0p9n9mwqwnxs"
139,Branded Online," Geoffrey Van Haeren, Jan Nugent",2009,," Advertising, E-Commerce, Internet, Online Portals","$11,837,994"," Costa Mesa, California, United States",101-250,"Branded Online is a dynamic technology company that delivers enterprise-class ecommerce, marketing, and logistics solutions to brands.",https://www.crunchbase.com/organization/branded-online,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/j8xh8heg4qfclqlhq2sp"
140,Toch,Alok Patil,31-May-16,," E-Commerce, Internet, Shopping, Video","$1,550,000"," Mumbai, Maharashtra, India",10-Jan,Toch is an interactive video shopping platform.,https://www.crunchbase.com/organization/toch,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/uftvteruukzbpgvaxrbm"
141,Ceres Power,Nigel Brandon,2001,," Energy, Fuel, Fuel Cell, GreenTech, Oil and Gas","208,000,000"," Horsham, West Sussex, United Kingdom",101-250,"Ceres Power Holdings PLC is a world leading developer of low cost, next generation fuel cell technology.",https://www.crunchbase.com/organization/ceres-power,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/kdqswl8macjojf4ysxmi"
142,WorldCover," Christopher Sheehan, Shiliang Tang",01-May-15,," Financial Services, FinTech, Impact Investing, Insurance, Social Entrepreneurship","$6,050,000"," New York, New York, United States",11-50,"WorldCover protects farmers around the world from droughts, by offering satellite-enabled insurance delivered with mobile money.",https://www.crunchbase.com/organization/worldcover,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1442354519/cbijunyl9bfy8xj6dfhw.png"
143,Sprig," Gagan Biyani, Matt Kent, Morgan Springer, Neeraj Berry",01-Apr-13,26-May-17," Delivery, E-Commerce Platforms, Hospitality","$56,700,000"," San Francisco, California, United States",51-100,Sprig is an online app that provides healthy organic meals delivered in 15 minutes.,https://www.crunchbase.com/organization/sprig-2,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1483735995/hva6jq8xvj46mc4ekkcr.png"
144,Shoes of Prey," Jodie Fox, Michael Fox, Mike Knapp",01-Apr-09,Mar-19," E-Commerce, Fashion, Shoes, Women's","$25,890,503"," Santa Monica, California, United States",11-50,"Shoes of Prey creates bespoke, hand-made women's shoes designed by the customer, and delivers them to anywhere in the world.",https://www.crunchbase.com/organization/shoes-of-prey,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1503415803/fpt4e3bjogbbpsgyrdcz.png"
145,Honestbee," Isaac Tay, Joel Sng, Jonathan Low",2015,Jul-20," Apps, Delivery, E-Commerce, Grocery, Internet","$46,000,000"," Singapore, Central Region, Singapore",1001-5000,Honestbee provides online concierge grocery delivery services for customers.,https://www.crunchbase.com/organization/honestbee,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1438244512/tbrxmhbq0nkzqx41iswh.png"
146,ODG (Osterhout Design Group),Ralph Osterhout,1999,2019," Augmented Reality, Consumer Electronics, Eyewear, Hardware, Mobile Devices, Wearables","$58,000,000"," San Francisco, California, United States",101-250,"ODG is the leader in extended reality smartglasses, delivering AR, MR &amp; VR solutions &amp; experiences to customers in enterprise and industry.",https://www.crunchbase.com/organization/odg,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1480529748/rv80uqgeuyzcedhlwvpk.png"
147,Kahuna," Adam Marchick, Jacob Taylor",2011,10-Jan-19," Analytics, Classifieds, E-Commerce, Marketing Automation, Marketplace, Mobile, Software","$64,392,457"," Redwood City, California, United States",51-100,Kahuna helps the world's leading digital marketplace brands deliver highly personalized experiences to every buyer and seller,https://www.crunchbase.com/organization/kahuna,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1421432487/fq4nq7ubvtiqnk6j7yad.png"
148,Aptera," Chris Anthony, Steve Fambro",2006,," Automotive, Manufacturing, Service Industry","$60,850,000"," Carlsbad, California, United States",11-50,"Aptera Motors is engaged in designing, engineering, and assembling the most efficient transportation in the world.",https://www.crunchbase.com/organization/aptera,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/amnjqizqhymc02txqf0f"
149,Zipline Medical,Amir Belson,2007,," Health Care, Medical Device","$56,000,000"," Campbell, California, United States",11-50,Zipline Medical develops tissue repair devices as a solution for non- invasive skin closure.,https://www.crunchbase.com/organization/zipline-medical,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397198588/42d92443a6e3e629d3b9c60b3943876f.jpg"
150,Service," Paul Proctor, Sandy Kronenberg",2013,2020," Home Improvement, Home Renovation, Home Services","$3,500,000"," Farmington Hills, Michigan, United States",10-Jan,Service.com - Home Repairs Done in a Snap!,https://www.crunchbase.com/organization/service,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1475867145/h7v8qponwuwgxtseh6uk.png"
151,Zero Mass Water," Cody Friesen, Joel Moxley",2014,," Environmental Engineering, Manufacturing, Renewable Energy, Water Purification","$84,411,991"," Tempe, Arizona, United States",11-50,Zero Mass Water is a developer and manufacturer of solar-powered devices designed to extract drinkable water from the atmosphere.,https://www.crunchbase.com/organization/zero-mass-water,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1492590396/blzk8lqgi5p27dlrfkxl.png"
152,Evive Health," Peter Saravis, Prashant Srivastava",2007,," Health Care, Information Services, Information Technology","$43,000,000"," Chicago, Illinois, United States",101-250,Evive Health is an information technology company that offers big data and healthcare analysis.,https://www.crunchbase.com/organization/evive-health,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1509749197/emh3oha212n7cckfvx4a.png"
153,just.me Inc," Alexander Komarov, Keith Teare, Sergey Zhukov",2011,," Apps, Information Technology, iOS, Messaging, Mobile, Mobile Advertising, Social Media Management, Video","$4,250,000"," Palo Alto, California, United States",10-Jan,"2011-2013, built a mobile social app called just.me. Bought by Archimedes Labs",https://www.crunchbase.com/organization/justme,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397197492/da0027938b6f44015bb8877b159f3f94.png"
154,Starsky Robotics," Kartik Tiwari, Stefan Seltz-Axmacher",2016,19-Mar-20," Autonomous Vehicles, Robotics, Transportation","$20,250,000"," San Francisco, California, United States",,Starsky Robotics is a San Francisco-based autonomous trucking company.,https://www.crunchbase.com/organization/starsky-robotics,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1489888603/bnkyrog3qj6keucwkiau.png"
155,ClearSky Data," Ellen Rubin, Lazarus Vekiarides",2014,," Cloud Computing, Data Center, Enterprise Software, Virtualization","$59,000,000"," Boston, Massachusetts, United States",11-50,ClearSky Data is a VC-backed startup in stealth that is building breakthrough technology solutions in enterprise infrastructure.,https://www.crunchbase.com/organization/clearsky-data,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1430987895/g9znjw3xpffc5zoezndr.png"
156,Narvii,,2013,," Enterprise Applications, Enterprise Software, Mobile","$8,452,219"," Medford, Massachusetts, United States",101-250,"Narvii creates a mobile community platform for long-tail interests, organizations, and brands.",https://www.crunchbase.com/organization/narvii,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397185009/00a752982fa4a660fde49accb398d86b.png"
157,CloudMine," Brendan McCorkle, Ilya Braude, Ilya Braude, Marc Weil",01-May-11,2018," Enterprise Software, Health Care, Information Technology, Mobile","$18,683,378"," Philadelphia, Pennsylvania, United States",11-50,"CloudMine is a HIPAA compliant data enablement platform for healthcare, empowering users to operationalize their most sensitive data.",https://www.crunchbase.com/organization/cloudmine,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397201923/fb3238e1e509e8431312b4ab7f4ae7c3.png"
158,Aibono,Vivek Rajkumar,2014,," Agriculture, Analytics, Farming, Information Technology, Predictive Analytics","$5,508,597"," Bangalore, Karnataka, India",11-50,"Aibono uses comprehensive data instruments, predictive analytics, and process improvements to help farmers improve yields.",https://www.crunchbase.com/organization/airwood,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/seabhgaseipmgthdhqqo"
159,Restore Medical Solutions," Ryan Ramkhelawan, Shawn Flynn",01-May-12,," Biotechnology, Health Care, Manufacturing, Medical, Medical Device","$7,862,200"," Memphis, Tennessee, United States",11-50,Restore Medical Solutions manufactures a sterilization tray system that reduces the risk of infection from contaminated medical instruments.,https://www.crunchbase.com/organization/restore-medical-solutions-inc,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397191728/4204607be8069b5d28c0e12d1d42a02d.jpg"
160,STAGE,Vinay Singhal,2016,," Apps, Content Creators, Music","$2,282,740"," Indore, Madhya Pradesh, India",101-250,STAGE is an Indian language content platform for artist-led entertainment.,https://www.crunchbase.com/organization/stage-4240,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/nvitynhcrjamxyvlnyka"
161,Call9," Celina Tenev, Timothy Peck, XiaoSong Mu",2015,2019," Emergency Medicine, Health Care, Medical","$34,000,000"," Brooklyn, New York, United States",101-250,Call9 Delivers On-Demand Doctors In Emergency Situations,https://www.crunchbase.com/organization/call9,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ep5q2zc8ejd6ptisiatd"
162,AWOK.com,Ulugbek Yuldashev,04-Apr-13,02-Sep-20," Consumer Electronics, Content Discovery, E-Commerce, Mobile, Shopping","$30,000,000"," Dubai, Dubai, United Arab Emirates",501-1000,AWOK.com is one of the leading mass market E-Commerce businesses offering affordable products in UAE and KSA with  mobile centric approach,https://www.crunchbase.com/organization/awok-com,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397189105/ce63821d149b1d767f5989fd77233788.png"
163,Matahari Mall,Hari Darmawan,2015,," E-Commerce, Fashion, Retail","$616,000,000"," Jakarta, Jakarta Raya, Indonesia",501-1000,"Matahari Mall is an Indonesian e-commerce platform that covers the fashion, health and beauty, electronics, home, and many other industries.",https://www.crunchbase.com/organization/matahari-mall,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1428381979/lbz0seyasioczqdd0avv.png"
164,Yogome," Alberto Colin, Manolo Diaz",2010,01-Oct-18," Developer Tools, Gaming, Recycling","$36,530,000"," San Francisco, California, United States",51-100,Yogome is an EdTech company leading the way in education by providing children all over the globe with the tools to succeed.,https://www.crunchbase.com/organization/yogome,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1496253941/y0eqey7pvfauvfsfam4s.png"
165,Arrow," Francescu Santoni, Jean Patry",14-Nov-17,," Augmented Reality, Internet, Mobile Apps, Video Editing","$500,000"," Paris, Ile-de-France, France",10-Jan,Arrow is a platform for augmented reality video sharing.,https://www.crunchbase.com/organization/archery-inc,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/fg1pjiuvwi2vdoc8o3kd"
166,Novast,Guohua Zhang,2005,," Health Care, Manufacturing, Pharmaceutical","$303,311,779"," Nantong, Jiangsu, China",101-250,"Novast is focused on the research, development and manufacture of value-added generic drugs.",https://www.crunchbase.com/organization/novast,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/z90mccsmuop8iym6ps9h"
167,FRACTAL,,01-Jan-18,," Asset Management, Finance, Financial Services","$4,000,000"," Santa Monica, California, United States",10-Jan,FRACTAL is a digital asset liquidity platform for the DeFi ecosystem.,https://www.crunchbase.com/organization/fractal-8d2b,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/62118ed9a189f52f2e0b"
168,Spin Memory,Andrew Kent,2007,," Data Storage, Hardware, Software","$158,000,000"," Boston, Massachusetts, United States",51-100,"Spin Transfer Technologies develops its orthogonal magnetoresistive random access memory technology, OST-MRAM.",https://www.crunchbase.com/organization/spin-transfer-technologies,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/nefx9qepaggaba8vadnk"
169,Bracket Computing," Jason Lango, Keith Valory, Tom Gillis",2011,," Computer, Information Technology, Software","$131,700,000"," Mountain View, California, United States",51-100,"Bracket Computing was founded in 2011 with the goal of delivering enterprise computing driven by business needs, not hardware limitations.",https://www.crunchbase.com/organization/bracket-computing,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1414010649/fnmcmrgg2yjlewgzzouf.png"
170,Unlockd," Christopher Kerrisk, Craig Watt, Matt Berriman",01-Oct-14,12-Jun-18," Advertising, Apps, Mobile, Telecommunications","$39,000,000"," London, England, United Kingdom",51-100,"Unlockd is a mobile platform that rewards consumers when they unlock their digital device and view targeted ads, content or offers",https://www.crunchbase.com/organization/unlockd-media,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1495672536/ugsgd4fjitpfkb08vvu4.png"
171,Eccrine Systems," Jason Heikenfeld, Robert Beech",Dec-13,," Biotechnology, Medical, Medical Device, Sensor","$29,369,949"," Cincinnati, Ohio, United States",11-50,"Eccrine Systems develops a non-invasive, electronic wearable systems that measure and transmit real-time data about human sweat.",https://www.crunchbase.com/organization/eccrine-systems,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1469567313/fsohgkkayyezhopzuud5.jpg"
172,Zestful," Carson Potter, Jeff Peterson, Mat Vogels",16-Oct-16,," Employee Benefits, Enterprise Software, Human Resources, Internet, SaaS","$6,220,000"," Denver, Colorado, United States",10-Jan,Zestful is a platform for companies to reward their team with the products and services they care about most.,https://www.crunchbase.com/organization/zestful,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/sbdagfclozczagzsfafi"
173,The DAO,,2016,01-Jun-16," Business Development, Business Information Systems, Cryptocurrency, Information Technology, Internet, Software","$163,000,000"," London, England, United Kingdom",,The DAO is a digital decentralized autonomous organization and a form of investor-directed venture capital fund.,https://www.crunchbase.com/organization/the-dao,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v06kvwddmhgep6pfiegc"
174,Oryx Vision,Rani Wellingstein,2009,25-Aug-19," Automotive, Autonomous Vehicles, Computer Vision, Robotics, Semiconductor","$67,000,000"," Petah Tiqva, HaMerkaz, Israel",11-50,Oryx Vision develops solid state depth vision solutions for autonomous vehicles.,https://www.crunchbase.com/organization/oryx-vision,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1472643352/o6xs4we3emuywiombdiv.png"
175,TranServ," Aditya Gupta, Anish Williams, Sandeep Ghule",2011,," FinTech, Internet, Mobile Payments, Payments","$21,679,685"," Mumbai, Maharashtra, India",11-50,TranServ is serving a variety of organizations and individuals to make payments processes easy &amp; safe.,https://www.crunchbase.com/organization/transerv,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1404705778/xidqpbuwem18wwehtczo.png"
176,Laurel &amp; Wolf," Brandon Kleinman, Leura Fine",2014,05-Mar-19," E-Commerce, Fashion, Interior Design, Internet, Lifestyle, Marketplace","$25,500,000"," Los Angeles, California, United States",51-100,Laurel &amp; Wolf is an online interior design marketplace that provides affordable and accessible professional designs for customers.,https://www.crunchbase.com/organization/laurelandwolf,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1435643957/xae1u8csfxh08owfhhdj.png"
177,Arivale," Clayton Lewis, Leroy Hood, Nathan Price",2014,21-May-19," Fitness, Health Care, Wellness","$52,600,000"," Seattle, Washington, United States",11-50,Arivale provides individuals a scientific path to optimize wellness and avoid disease for a life filled with joyful moments.,https://www.crunchbase.com/organization/arivale,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1436334084/cwrho1y88fzckb8wg8sw.png"
178,Doppler Labs," Fritz Lanman, Noah Kraft",2013,01-Nov-17," Audio, Consumer Electronics, Wearables","$51,135,000"," San Francisco, California, United States",51-100,Doppler Labs is a wearable technology company creating products that enhance the way you experience your world.,https://www.crunchbase.com/organization/doppler-labs,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1478288622/ivlo7yctqwfc2beyifnv.png"
179,NOME,Chen Hao,2015,," Consumer, Consumer Goods, E-Commerce, Lifestyle, Retail","$145,000,000"," Guangzhou, Guangdong, China",501-1000,"NOME is a lifestyle brand based in Guangzhou, China, and creates practical, Swedish-designed consumer products.",https://www.crunchbase.com/organization/nome-04c4,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/eudjuyzlkdxvjij35k1n"
180,Owlcam," Andrew Hodge, Nathan Ackerman",29-Dec-16,," Automotive, Consumer Electronics, Electronics, Security, Video","$28,000,000",,11-50,Owl Cameras develops security cameras for cars.,https://www.crunchbase.com/organization/owl-cameras,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ichmqnjl23vw8kumvvpm"
181,Brideside," Nicole Staple, Sonali Lamba",2013,," E-Commerce, Fashion, Marketplace, Online Portals, Wedding","$13,500,000"," Chicago, Illinois, United States",51-100,Brideside is an online marketplace for personalized bridesmaid dresses.,https://www.crunchbase.com/organization/brideside,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397180341/66f9241b4670a03a9170e76dae9ca223.jpg"
182,Home Bay Technologies," Joe Zulli, Ryan Owen, Tom Owen",21-Apr-15,," Home Improvement, Internet, Real Estate, Residential","$18,950,000"," San Diego, California, United States",11-50,"Home Bay provides a solution that makes residential real estate transactions easier, certain and less expensive.",https://www.crunchbase.com/organization/homebay,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zc1veuzh5snuyqn2g3uh"
183,Yo," Moshe Hogeg, Or Arbel, Phil Haus",01-Apr-14,," Apps, Communications Infrastructure, Messaging, Mobile","$1,500,000"," San Francisco, California, United States",11-50,Yo is a simple and efficient single-tap zero character communication tool.,https://www.crunchbase.com/organization/yo,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/odal4bfibleovcbjtknv"
184,kevin.,Pavel Sokolovas,08-Jun-17,04-Feb-18,,"3,350,000"," Vilnius, Vilniaus Apskritis, Lithuania",51-100,Unlocking open banking to disrupt payments.,https://www.crunchbase.com/organization/kevin-3e23,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/giqe9iwxdh2mrngh4ka5"
185,Locent," Chris Ishida, Matt Joseph",2015,," Health Care, Internet, SMS","$1,380,000"," Santa Monica, California, United States",10-Jan,"Locent helps healthcare providers securely send, request and receive clinical documents",https://www.crunchbase.com/organization/locent,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1456220220/zgcj1yccbpvwr9nj4bh7.png"
186,Sapphire Energy," James Levine, Jason Pyle, Kristina Burow, Nathaniel David, Stephen Mayfield, Steven Briggs",2007,," Biotechnology, Clean Energy, Energy, Solar","$376,524,000"," San Diego, California, United States",51-100,"Sapphire Energy develops products and processes based on photosynthetic microorganisms, and uses sunlight and CO2 as their feedstock.",https://www.crunchbase.com/organization/sapphire-energy,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397180501/c7cd0b51873a53f5cefc899130528622.jpg"
187,Twenty Two Motors," Parveen Kharb, Vijay Chandrawat",2016,," Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design","$66,600,000"," Haryana, Haryana, India",11-50,Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,https://www.crunchbase.com/organization/twenty-two-motors,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1491560895/tgakjvdasv1nhmnbta6x.png"
188,AIQ,,17-Feb-14,," Artificial Intelligence, Computer Vision, Image Recognition, Machine Learning, Natural Language Processing, Visual Search","�1,300,000,000"," Singapore, Central Region, Singapore",11-50,AIQ bridges offline to online media properties with its Computer Vision AI Technology.,https://www.crunchbase.com/organization/aiq,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zzjq9br5irppddwahmpy"
189,Lighthouse," Alex Teichman, Hendrik Dahlkamp",Oct-14,01-Dec-18," Artificial Intelligence, Autonomous Vehicles, Machine Learning, Natural Language Processing, Security, Smart Home","$17,000,000"," Palo Alto, California, United States",11-50,Lighthouse is the home camera for smart home.,https://www.crunchbase.com/organization/lighthouse-5,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vrc3cka167cjcwre4k47"
190,BDS Analytics," Liz Stahura, Roy Bingham",2015,," Analytics, Cannabis, Market Research","$12,020,000"," Boulder, Colorado, United States",51-100,BDS Analytics is the indispensable source for cannabis industry data and insight.,https://www.crunchbase.com/organization/bds-analytics,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1442809989/cqvstnpdx9ragxziqfhi.png"
191,LOYAL3,,01-Jun-08,2017," Finance, Financial Services, FinTech","$50,723,650"," San Francisco, California, United States",51-100,"Democratizing the stock market, making it easy and affordable for everyone to invest in brands they love, and IPOs, fee-free.",https://www.crunchbase.com/organization/loyal3,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397191935/4984de4c130d04bffdcdc45bbb5f2717.jpg"
192,Strategic Funding Source,Andrew Reiser,2006,," Finance, Financial Services, FinTech","$215,000,000"," New York, New York, United States",51-100,Strategic Funding Source finances the future of small business with technology and insight,https://www.crunchbase.com/organization/strategic-funding-source,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1409750373/wi2bqzvs3glwrdhohafw.png"
193,DriveScale," Duane Northcutt, Satya Nishtala, Tom Lyon",Mar-13,25-Jan-21," Big Data, Computer, Data Center, Data Center Automation, Infrastructure, Software","$26,000,000"," Sunnyvale, California, United States",11-50,"DriveScale team, now part of Twitter on January 25, 2021",https://www.crunchbase.com/organization/drivescale,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1446651129/sg3uhzmwmudqtcepmkys.jpg"
